기준일자,기업명,종목코드,유형자산의 처분,분기코드,이자의 수취,비유동자산,재고자산,매출총이익,비지배지분,부채총계,이연법인세부채,비유동부채,현금및현금성자산,자본금,이자의 지급,유동부채,기타포괄손익,유형자산,금융수익,매출원가,유형자산의 취득,무형자산,자산총계,유동자산,무형자산의 취득,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
20181114,셀트리온,00413046,18000000.0,11014,6344150368,1848370220628,138445129098.0,118617500359,112959463281,666091039130,69270277428.0,161901220628,365492400901,125395903000,-10868716139.0,504189818502,601803425,645255957429,2610742282,80678391957,-32034816963,860991690110,3320973333725,1472603113097,-85306925994,2018,3분기,068270,181215,1350110034038,1227.6228424731773,3.5717691302854155
20220512,셀트리온,00413046,18420000.0,11011,9633876570,1888329253915,125717441514.0,514575964386,108755540845,766576994169,62284743973.0,218455704094,399558425745,125456133000,-13995411324.0,548121290075,1208688981,677870722592,21096127600,347308261920,-72094133684,877141249708,3370639261764,1482310007849,-108198557520,2018,4분기,068270,148826,1350110034038,233.13047134755365,15.266420534029509
20190515,셀트리온,00413046,,11013,2495703882,1951309750430,157786487732.0,123378528651,107995275869,716441996623,59596143379.0,221845397101,397885441171,127953489000,-2327554176.0,494596599522,329909084,692742266384,4502093741,68128438543,-19714825375,918862247950,3368891999135,1417582248705,-27084253375,2019,1분기,068270,173810,1350110034038,1225.3477168714562,3.6622880366209065
20190814,셀트리온,00413046,,11012,4952740065,1978610388579,220615061035.0,123853794350,109284724616,762307618292,54921250282.0,310161117742,428922699070,128329070000,-5892349812.0,452146500550,-2620909014,681809290655,6000186094,72970650562,-23281939418,945280546159,3510134636349,1531524247770,-67839076173,2019,2분기,068270,136122,1350110034038,933.7238478456694,3.5284627850863344
20191114,셀트리온,00413046,20000000.0,11014,8028424542,2021479640555,235490304268.0,154874777089,109688762258,808633998640,58139156070.0,308803889640,545692776322,128336328000,-8643805109.0,499830109000,-625636302,696544334403,4592743867,93306980923,-46853304950,965638672808,3620387076398,1598907435843,-113768675680,2019,3분기,068270,165386,1350110034038,899.7006866177983,4.277851340776749
20220512,셀트리온,00413046,20100000.0,11011,11362767142,2063791784809,268715675450.0,571414750660,112803847776,803855701471,66655092827.0,286291312657,526092843365,128337853000,-11427965912.0,517564388814,-2420310613,701428195334,17289400049,410455518192,-63657999673,987732187355,3674522702268,1610730917459,-190291757874,2019,4분기,068270,148826,1350110034038,204.64157261902625,15.550720378113589
20200515,셀트리온,00413046,0.0,11013,2227799407,2117570903472,269723850829.0,178311534147,112336928059,917822697830,68852177308.0,345126170926,565895284594,134706932000,-2287179295.0,572696526904,2585585628,703203831635,8014565512,167382667888,-14279687163,1038866075818,3928985413043,1811414509571,-31906709044,2020,1분기,068270,201934,1350110034038,788.6540127329836,4.538360808239745
20200814,셀트리온,00413046,300000.0,11012,3657609337,2128280316649,305744374041.0,235664728082,113051735576,976759063485,75391684148.0,300752645021,675769153813,134939385000,-4642289430.0,676006418464,1264973766,699671809186,1346575183,168608807183,-23405070232,1043211295199,4153445480616,2025165163967,-59290210899,2020,2분기,068270,282707,1350110034038,944.1269934787772,5.67395742117815
20201116,셀트리온,00413046,430000.0,11014,5120026557,2142375511667,349728998541.0,295820785791,118225775128,1068443172855,83284947494.0,312007199564,647400165054,134993738000,-6725425303.0,756435973291,4041366289,692449126395,618655272,191549397322,-30282701191,1076978292417,4428179144084,2285803632417,-116243081401,2020,3분기,068270,267853,1350110034038,742.0048158000135,6.680415948984661
20220512,셀트리온,00413046,953065610.0,11011,5798895209,2486920960591,333901355140.0,955462733266,119903308981,1359837342211,84981288478.0,459265660740,615216683989,134997805000,-9029341836.0,900571681471,10618036884,695641290578,9255305258,734324263547,-45326173431,1088436038129,4781125289232,2294204328641,-159925049013,2020,4분기,068270,148826,1350110034038,118.90935147725926,19.98405554060428
20210531,셀트리온,00413046,1825000.0,11013,994627977,2506441353411,380485166558.0,250202159154,118735321262,1320087495118,70086834111.0,448841862191,672749229360,137703428000,-2757558866.0,871245632927,-5880620690,692133156164,14799132775,134369721526,-6923942391,1125885322327,4925713537003,2419272183592,-33312570276,2021,1분기,068270,259523,1350110034038,911.1030316207566,5.079510963729997
20210817,셀트리온,00413046,2175000.0,11012,1777859576,2580888927571,392689598440.0,188683871952,123921226315,1224919424267,49424836729.0,447198481066,745078472673,137916534000,-5261612134.0,777720943201,1588915410,692306530455,2910102615,157561670206,-16047586188,1176942399385,4973283235071,2392394307500,-110951165919,2021,2분기,068270,259050,1350110034038,1010.1097681654672,3.793949852311323
20211115,셀트리온,00413046,13275000.0,11014,2687803509,2620715495731,477532676773.0,209440519790,128982102152,1295084322182,37443588527.0,388241854301,840549500961,137934716000,-7785269125.0,906842467881,-2390163253,701689873662,22182723018,123057607416,-35603423315,1220506031152,5185056559525,2564341063794,-201072947982,2021,3분기,068270,220287,1350110034038,894.476283422393,4.039310225174993
20220512,셀트리온,00413046,13425000.0,11011,4079864729,2615584784089,505891196547.0,929869228928,16435876563,1315561451471,20032468308.0,365385720997,1078949146435,137947128000,-10364848688.0,950175730474,-8077303670,706187829304,42417512025,685970660880,-52507708197,1174744172771,5315369383748,2699784599659,-245788947661,2021,4분기,068270,148826,1350110034038,124.35110507738165,17.493971948047868
20220516,셀트리온,00413046,150000.0,11013,3025873988,2648035165551,601068659230.0,226660416582,2745410096,1475592112614,25402796937.0,411346496978,884855735763,140688010000,-2743156976.0,1064245615636,405533607,712562114956,7330366107,311942839913,-16418104356,1201070102471,5317701177005,2669666011454,-45120120041,2022,1분기,068270,135822,1350110034038,340.46330546984274,4.262375959787536
20220816,셀트리온,00413046,980000.0,11012,5701065165,2690926108765,602572967744.0,243589708808,671000949,1382286849607,26177870567.0,422053110196,487541633592,140767851000,-6218329287.0,960233739411,-1026234381,735841414700,6981621610,254383604919,-45029195079,1215068116395,5334547658842,2643621550077,-84242474604,2022,2분기,068270,203251,1350110034038,551.0560645799904,4.566267364848651
20221114,셀트리온,00413046,1130000.0,11014,8462384642,2742135924388,564471842049.0,237117262448,277973305,1394844783135,26164996673.0,431608895980,543586851440,140791866000,-10546665798.0,963235887155,-745020455,755095090479,6789672166,215582294831,-87541760412,1244786492252,5499440966395,2757305042007,-135278719923,2022,3분기,068270,178206,1350110034038,531.4732582729141,4.311661201510003
20230320,셀트리온,00413046,2040000.0,11011,11771407782,2990949026273,544603169670.0,885411229528,4811149867,1401534327356,,296194697401,501359476759,140805210000,-16224945721.0,1105339629955,191451187,775993732622,24067143477,1052058067945,-107155737359,1318556078705,5571483129934,2580534103661,-197838456608,2022,4분기,068270,157900,1350110034038,110.03135618853389,15.891840805744101
20230512,셀트리온,00413046,1860000.0,11013,3597033900,3074394130126,429597953833.0,239463479522,1923284175,1627722453163,815807855.0,293110326086,453817118087,146331198000,-6863296137.0,1334612127077,1207227775,808335026336,7055910978,296116930273,-41778142586,1364407327680,5800620905047,2726226774921,-32009373794,2023,1분기,068270,166600,1350110034038,419.9711706349097,4.12823874274645
20180515,POSCO홀딩스,00155319,-1876414242.0,11013,29977189856,38642523536418,4529807288664.0,1470832416943,90570531904,8557307669293,1281531203654.0,4318913746396,412279465569,482403125000,13918356749.0,4238393922897,-41364011894,21417745684463,-173559293067,6290057611162,372762151247,552399779157,54934594731229,16292071194811,11424963039,2018,1분기,005490,370500,1746110000741,83.35819125535326,2.677424715953838
20180911,POSCO홀딩스,00155319,9722383133.0,11012,70101510154,38355910321607,4463424844031.0,1274209854970,46736788594,7998137551695,1241375723628.0,3916091110711,224843418363,482403125000,69487280724.0,4082046440984,-18905593615,21234346367707,-336029421407,6430635291453,759075436967,523543542361,54007996043783,15652085722176,22505374653,2018,2분기,005490,292000,1746110000741,66.17447989244509,2.3592985267163558
20181114,POSCO홀딩스,00155319,12563447830.0,11014,106661678138,38245928972916,4534183030023.0,1552028268695,27202322484,9316049011031,1226822861024.0,4991692455730,979302360050,482403125000,84953953309.0,4324356555301,32180890628,21044269208333,-349195727847,6353479816049,1095951273909,527963100736,56127620542359,17881691569443,42070064827,2018,3분기,005490,249000,1746110000741,54.997273486260475,2.765177382717834
20190401,POSCO홀딩스,00155319,4551389365.0,11011,154529450860,37329579638935,5288008733361.0,4931132257497,192040415501,8853877911368,1179671644521.0,4957905021987,259219202425,482403125000,148129201618.0,3895972889381,-237702536160,20154333945364,-443951555523,25728293176018,1677961869614,645222018546,54125979686154,16796400047219,58807683670,2018,4분기,005490,266500,1746110000741,15.177659353289682,9.110472061826599
